application_id,Interview Taken on,Status,event_name,Department,Post Name,Offered Salary
383422,5/1/2014 11:40,Hired,Male,Service Department,c8,56553
907518,5/6/2014 8:08,Hired,Female,Service Department,c5,22075
253651,5/2/2014 16:32,Hired,Male,Operations Department,i4,29668
289907,5/1/2014 7:44,Hired,Male,Sales Department,-,85914
751029,5/2/2014 13:09,Hired,Female,Service Department,i4,15156
649039,5/7/2014 10:48,Hired,Female,Service Department,b9,200000
199526,5/7/2014 10:50,Hired,Male,Service Department,b9,86787
539803,5/15/2014 9:31,Hired,Male,Finance Department,b9,2308
191009,5/9/2014 12:48,Hired,Female,Service Department,i7,56688
195323,5/9/2014 12:48,Hired,-,Service Department,i7,81757
51318,5/2/2014 8:07,Hired,Male,Service Department,i5,15134
513166,5/1/2014 22:53,Hired,Female,Operations Department,i1,73579
891568,5/1/2014 16:28,Hired,Female,Operations Department,i7,3423
780839,5/10/2014 14:18,Hired,Female,Service Department,i1,70979
202821,5/1/2014 16:01,Hired,Male,Operations Department,i6,52176
896164,5/1/2014 17:21,Hired,Don’t want to say,Production Department,i7,37947
692533,5/2/2014 18:23,Hired,Male,Service Department,c5,72843
847880,5/9/2014 15:43,Hired,Female,Service Department,m6,800
37073,5/5/2014 19:37,Hired,Female,Purchase Department,i7,51645
116456,5/5/2014 15:44,Hired,Female,Finance Department,c5,52285
94068,5/10/2014 17:34,Hired,Male,Operations Department,i4,67434
487441,5/10/2014 17:34,Hired,Female,Operations Department,i4,12624
296052,5/29/2014 14:43,Hired,Female,Finance Department,c5,1141
964704,5/29/2014 14:44,Hired,Female,Finance Department,c5,39485
288171,5/6/2014 15:37,Hired,Female,Marketing Department,i4,33631
379557,5/7/2014 15:34,Hired,Female,Production Department,i4,61532
453498,5/8/2014 3:12,Hired,Male,Sales Department,i4,62937
37906,5/8/2014 3:16,Hired,Female,Sales Department,i4,95603
692080,5/8/2014 3:16,Hired,Male,Sales Department,i4,79230
860311,5/8/2014 7:59,Hired,Male,Purchase Department,i5,14781
269204,5/8/2014 7:57,Hired,Don’t want to say,Purchase Department,i5,43093
566403,5/9/2014 15:05,Hired,Female,Operations Department,c5,85201
455073,5/9/2014 13:53,Hired,Female,Service Department,i4,60370
611809,5/9/2014 17:31,Hired,Female,Operations Department,i4,28473
458216,5/12/2014 8:27,Hired,Female,Operations Department,i6,67976
272804,5/13/2014 18:41,Hired,Male,Marketing Department,i1,28445
114169,5/13/2014 18:41,Hired,Female,Marketing Department,i1,42946
576340,5/13/2014 9:18,Hired,Female,Operations Department,i7,55469
305032,5/13/2014 9:19,Hired,Female,Operations Department,i7,90807
814453,5/13/2014 9:19,Hired,Don’t want to say,Operations Department,i7,68515
26472,5/13/2014 19:57,Hired,Male,Purchase Department,i6,43261
521234,5/13/2014 11:03,Hired,Don’t want to say,Operations Department,i4,44582
382645,5/15/2014 9:57,Hired,Male,Service Department,c-10,65587
767003,5/15/2014 10:01,Hired,Male,Service Department,c-10,73396
881891,5/15/2014 13:51,Hired,Female,Sales Department,i5,41895
824221,5/16/2014 9:55,Hired,Male,Service Department,i4,17815
966786,5/16/2014 9:55,Hired,Female,Service Department,i4,13718
381072,5/16/2014 16:50,Hired,Male,Operations Department,i4,67685
664109,5/16/2014 16:54,Hired,Male,Operations Department,i4,42782
505365,5/16/2014 18:06,Hired,Don’t want to say,Human Resource Department,i5,79702
482656,5/29/2014 9:19,Hired,Female,Production Department,i7,97814
225116,5/16/2014 17:41,Hired,Male,Operations Department,i1,25711
45162,5/19/2014 0:05,Hired,Don’t want to say,Operations Department,i4,1212
641336,5/18/2014 17:53,Hired,Female,Operations Department,i6,22267
466709,5/19/2014 13:22,Hired,Female,Production Department,i7,49631
318812,5/19/2014 12:58,Hired,Female,Sales Department,c5,84858
40385,5/19/2014 14:28,Hired,Male,Operations Department,i4,1986
703540,5/20/2014 17:06,Hired,Female,General Management,c-10,77027
838911,5/20/2014 17:03,Hired,Male,General Management,c-10,98822
51314,5/20/2014 17:05,Hired,Female,General Management,c-10,18661
716333,5/20/2014 17:03,Hired,Don’t want to say,General Management,c-10,71461
350612,5/20/2014 19:45,Hired,Male,Service Department,b9,56549
272182,5/20/2014 12:28,Hired,Female,Service Department,i6,56534
118533,5/20/2014 16:05,Hired,Male,Purchase Department,i4,68969
757514,5/21/2014 4:02,Hired,Female,Operations Department,c5,76575
337880,5/21/2014 4:03,Hired,Male,Operations Department,c5,50520
806305,5/21/2014 12:46,Hired,Male,Operations Department,i7,97253
321721,5/22/2014 14:01,Hired,Female,Production Department,i7,86922
797115,5/22/2014 18:15,Hired,Male,Sales Department,i5,21768
812987,5/22/2014 9:12,Hired,Female,Purchase Department,i7,82746
463120,5/22/2014 9:14,Hired,Female,Purchase Department,i7,87381
461901,5/30/2014 19:43,Hired,Female,Purchase Department,i7,17864
256912,5/22/2014 16:46,Hired,Male,Operations Department,i5,95863
556830,5/23/2014 16:25,Hired,Female,Service Department,c8,8812
278581,5/26/2014 9:42,Hired,Male,Operations Department,b9,15137
207860,5/26/2014 14:45,Hired,Male,Operations Department,i4,9864
970445,5/27/2014 9:56,Hired,Male,Operations Department,i6,6974
200462,5/27/2014 9:57,Hired,Male,Operations Department,i6,42285
905452,5/27/2014 14:17,Hired,Female,Operations Department,i4,55812
495892,5/27/2014 14:15,Hired,Don’t want to say,Operations Department,i4,39922
167998,5/27/2014 17:18,Hired,Female,Operations Department,i7,49768
109266,5/27/2014 18:17,Hired,Female,Finance Department,i7,68952
516967,5/27/2014 18:17,Hired,Don’t want to say,Finance Department,i7,48308
216582,5/28/2014 8:19,Hired,Male,Operations Department,i4,36542
846310,5/28/2014 8:20,Hired,Female,Operations Department,i4,74691
13742,5/28/2014 1:42,Hired,Male,Production Department,c-10,40601
714683,5/28/2014 0:33,Hired,Male,Operations Department,i7,33839
630224,5/28/2014 0:34,Hired,Male,Operations Department,i7,29298
370968,5/28/2014 0:35,Hired,Female,Operations Department,i7,16072
445539,6/13/2014 14:30,Hired,Male,Operations Department,i7,52199
402829,6/13/2014 14:32,Hired,Male,Operations Department,i7,22524
753595,6/1/2014 22:23,Hired,Male,Production Department,i6,15784
231901,6/1/2014 22:25,Hired,Male,Production Department,i6,7691
67222,5/29/2014 18:46,Hired,Male,Operations Department,c-10,72545
280350,5/29/2014 18:47,Hired,Female,Operations Department,c-10,44767
493551,5/29/2014 12:17,Hired,Male,Operations Department,i6,54524
792362,5/29/2014 6:44,Hired,Male,Service Department,c5,95011
614502,5/29/2014 6:43,Hired,Female,Service Department,c5,90897
212493,5/29/2014 8:54,Hired,Male,Purchase Department,c5,30114
359609,6/1/2014 7:04,Hired,Male,Purchase Department,c5,65247
795330,6/15/2014 9:45,Hired,Female,General Management,i4,400000
462254,5/30/2014 9:14,Hired,Female,Operations Department,i4,7210
938274,6/12/2014 15:46,Hired,Female,Operations Department,c5,67823
187096,6/2/2014 17:14,Hired,Female,Production Department,c5,26954
579048,6/2/2014 11:21,Hired,Male,Operations Department,b9,33534
133347,6/2/2014 11:21,Hired,Male,Operations Department,b9,47686
567549,6/3/2014 12:47,Hired,Male,Service Department,c-10,34243
270850,6/14/2014 10:49,Hired,Female,Service Department,i4,56501
754298,6/14/2014 10:50,Hired,Female,Service Department,i4,57362
528415,6/3/2014 10:57,Hired,Male,Service Department,c5,51584
831750,6/3/2014 8:25,Hired,Male,Service Department,i4,60967
366864,6/3/2014 20:46,Hired,Male,Service Department,c8,55146
71829,6/4/2014 0:59,Hired,Female,Service Department,i1,47003
240857,6/4/2014 10:40,Hired,Male,Service Department,b9,59017
983968,6/13/2014 15:43,Hired,Female,Service Department,c-10,78320
372328,6/4/2014 18:14,Hired,Male,Service Department,i4,99389
290105,6/4/2014 18:16,Hired,Female,Service Department,i4,86123
525261,6/5/2014 10:41,Hired,Male,Service Department,i5,67992
865282,6/5/2014 17:39,Hired,Male,Marketing Department,i5,19550
896420,6/5/2014 4:19,Hired,Male,Operations Department,c8,64751
462656,7/24/2014 9:19,Hired,Don’t want to say,Operations Department,i5,52411
528775,6/5/2014 16:08,Hired,Male,Service Department,i4,5372
730892,6/6/2014 18:01,Hired,Male,Sales Department,c8,80788
341409,6/6/2014 8:42,Hired,Female,Sales Department,i5,8366
